rtmed,mns13pip3p_again,mns1pip3p,mns20pip2p2,mns20pip4p,mns22pip2p,mns24pip4p,mns26pip1p,mns27pip1p,mns28pip1p2,mns2pip1p2,mns31pip3p2,mns32pip3p,mns34pip3p,mns4pip1p,mns9pip4p,mnsC50pip2p,mnsC51pip4p2,mnsC52pip2p2,mnsC53pip2p2,mnsJ1pip4p,mns12pip4p,mns15pip2p,mns15pip4p2,mns18pip2p,mns23pip2p,mns23pip4p,mns24pip2p,mns25pip3p,mns26pip3p2,mns30pip1p,mns30pip3p2,mns32pip1p,mns34pip1p,mns35pip1p2,mns3pip3p,mns41pip4p,mns4pip3p2,mns6pip1p,mns9pip2p,mnsC52pip4p
9.19391692,28193.38485,3260.815506,7204.603346,4172.508074,7875.343051,24912.29104,12848.20946,3930.514662,10591.61104,3392.014921,5384.334395,3376.988269,11990.01646,13381.93466,22953.10252,22243.73687,4468.391632,283.2183528,2531.388036,6707.696303,12819.64611,23634.9228,6850.856662,22276.90194,7137.804708,3794.127717,19577.48835,7262.169403,4992.548885,6586.439151,7138.469431,4576.54661,7849.575393,119.337081,4150.546432,6999.27296,2994.08775,9103.62647,19290.74885,38120.45993
9.194083295,285692.1924,39331.15065,96341.66861,51315.09327,83341.81996,247722.6688,132129.5609,42370.87702,139246.4742,44982.28973,82955.17071,51309.67427,133512.9014,147830.1781,255794.4826,227524.281,61340.84853,17259.74896,35051.31678,86849.96715,140655.095,261960.0841,88722.23384,242373.5783,76274.81427,45239.57704,213299.7519,78067.60043,66555.31804,75882.1071,92165.27666,63787.02979,94090.02391,11474.35892,49218.29169,79056.11509,39477.26361,106553.8885,274653.8842,316435.0113
9.194833318,3313.395225,530.7206194,1056.722381,618.2836195,990.3944031,2938.620214,1510.164497,545.3719284,923.4921592,579.654964,618.6198584,711.4630705,1752.884754,854.0423335,2979.12216,2856.768342,735.2191391,161.3910147,420.134573,530.4265541,1741.655464,3617.288987,1051.346736,3337.265351,924.8420861,556.7498804,2478.015728,966.4639732,597.3423269,898.5741111,954.806642,624.3524873,689.9905479,96.19139866,643.9792848,1057.918099,450.291818,1207.679005,3025.243953,4727.264932
9.195333504,15345.76761,2041.63112,5054.725176,2722.798125,4529.954178,13589.9338,7283.537967,2252.002181,7396.123999,2407.627023,4384.845948,2763.764725,6968.489797,7108.408198,13622.15042,12201.69388,3062.212182,827.5587204,1492.57737,4609.754722,7652.791506,14035.88292,4819.119753,13126.01569,4157.847557,2424.827151,11642.29056,4032.812529,3517.279251,4108.937072,4938.047559,3267.456789,5039.907233,605.0779631,2646.94739,4320.161084,2099.903333,5678.805291,14652.94879,21056.76009
9.196333318,19811.33883,3259.427572,8048.732461,3468.981702,6116.778983,18551.69705,9828.752974,3078.033536,11756.13951,3647.38132,6701.681944,4028.485522,10651.54683,11467.95626,18646.76378,17226.96822,5259.740554,1457.824586,2841.873731,5906.704559,10886.41089,18839.85801,7341.939232,17828.21292,5478.548556,3664.72677,16493.09864,6035.969335,5275.485551,5916.052926,7211.815404,5024.889028,7701.234613,850.5088355,4155.558155,5964.767572,2963.160048,8419.859935,18822.36404,26348.10553
9.196666651,2717.278392,409.2464062,1000.347291,416.1285692,849.4969819,2675.325749,1172.725631,292.9718505,1065.200646,474.67464,653.9664692,491.3421079,1256.681168,1085.801802,2520.047649,2457.237563,584.627541,196.3194536,296.632282,597.6675689,1478.246956,1930.757485,809.0491653,2430.011137,739.8733323,473.6162147,2304.153006,771.7810076,719.4559808,775.9905021,864.8533913,705.9952239,931.6929429,66.66058794,476.5161887,795.2169691,357.0477236,1048.855304,2618.96148,3844.948045
9.197999799,6623.898536,646.318941,1714.178643,839.2778723,1732.255353,5389.335074,2529.645926,751.8558064,2894.492042,762.6132236,1302.948639,906.9597341,2602.435675,2839.189039,5708.569604,4825.484194,872.8537644,243.5814375,578.9963526,1454.662538,2713.063709,0,1443.554236,5498.11199,1558.259153,717.418295,4282.688615,1600.222314,1203.796038,1477.714986,1543.201574,1222.9753,1732.39664,176.4479013,881.4127011,1627.54417,729.5160411,2016.61983,6111.482614,9240.636499
9.204166466,3320.520275,488.519246,1078.406702,498.3020111,1071.806449,3096.000867,1515.86831,528.2177957,1207.383703,616.5903526,838.874082,528.2142248,1646.841129,1828.700549,2780.674102,2766.737668,522.0911889,38.66556675,218.1424376,816.9766498,1771.316566,3034.67371,861.3394225,2537.613361,927.5595396,530.6188478,2666.563186,933.8457451,144.3837033,923.0059089,780.457227,600.9707797,1097.65566,107.3473429,663.1018148,969.0117283,397.1735081,1273.595843,3235.573439,4848.00568
9.204999985,5404.624574,801.3114148,2246.997934,904.5017407,1509.644627,5014.633997,2534.869578,685.4749182,3383.855552,945.8763447,1932.44172,1073.665719,2885.548497,2529.717253,4552.661718,4808.160458,967.4265376,368.5939233,717.9968147,1289.234359,2817.628886,5045.317301,2047.663528,4484.022579,1542.713085,1015.292586,4434.883809,1679.537692,1476.904651,1596.531498,1922.89502,1320.629657,1855.693863,146.0436587,1032.677036,1495.338021,707.5424497,2161.877178,5012.545966,7157.364852
9.205083318,3997.723699,455.6568523,73.23657673,599.3572824,982.7260854,3416.053793,1549.527839,543.4682363,327.9877493,55.8044391,1040.792996,263.0740494,1733.594164,1779.910757,3530.363846,3025.193934,490.1193704,47.27712184,100.921593,892.3330202,1552.846494,2713.065775,153.5179479,3524.503547,999.3457248,519.2840906,2117.371068,1081.496268,195.2631695,925.038176,973.9109294,135.1365726,1042.774096,41.10769039,610.1921689,1060.424127,9.204677834,1394.207884,3241.47491,5542.807511
