"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC14vsPC29",1.72219327819723,1.6
"PC8vsPC24",1.72765164389983,3.4
"PC15vsPC27",1.73476191409526,1.5
"PC11vsPC19",1.73699957610575,2.4
"PC6vsPC9",1.74292220902348,6.4
"PC19vsPC28",1.75023785820298,1.2
"PC6vsPC12",1.75968483939483,5.4
"PC4vsPC11",1.76014423367565,9.1
"PC3vsPC5",1.76361817173958,13.5
"PC1vsPC25",1.76998642764793,37.5
"PC3vsPC7",1.782610691766,12.1
"PC4vsPC28",1.78666234640293,7.9
"PC14vsPC27",1.80284818458123,1.7
"PC22vsPC25",1.80746459781224,1.1
"PC16vsPC25",1.80912793013743,1.4
"PC7vsPC12",1.82065325263577,4.7
"PC3vsPC6",1.83101895283521,12.8
"PC5vsPC12",1.83226490365152,6.1
"PC11vsPC24",1.83440355911963,2.1
"PC4vsPC15",1.83786944334894,8.6
"PC5vsPC21",1.84506724220723,5.3
"PC14vsPC22",1.84641709185711,1.9
"PC11vsPC15",1.84753968816245,2.7
"PC1vsPC5",1.84903808898869,41.6
"PC15vsPC28",1.8563448975783,1.5
"PC8vsPC19",1.860389474227,3.7
"PC7vsPC9",1.86040477594086,5.7
"PC21vsPC25",1.87538704583446,1.2
"PC5vsPC29",1.87813286562718,4.9
"PC14vsPC28",1.8875139838479,1.7
"PC3vsPC23",1.89052214542029,9.5
"PC6vsPC16",1.89592152770795,4.8
"PC12vsPC23",1.8975991638829,2.1
"PC9vsPC23",1.89974170924783,3.1
"PC25vsPC28",1.90220434150287,0.9
"PC5vsPC16",1.90522997995946,5.5
"PC6vsPC29",1.91797700400383,4.2
"PC15vsPC24",1.91798028576644,1.6
"PC25vsPC27",1.92382262825951,0.9
"PC8vsPC25",1.92718269093998,3.4
"PC1vsPC7",1.92953310112262,40.2
"PC7vsPC16",1.93762913976636,4.1
"PC11vsPC14",1.93921940602705,2.9
"PC15vsPC19",1.94529629732764,1.9
"PC1vsPC6",1.95151171779005,40.9
"PC8vsPC15",1.95363202809842,4
"PC14vsPC19",1.95423599598485,2.1
"PC7vsPC21",1.95461254956837,3.9
"PC4vsPC19",1.96810976343658,8.3
"PC6vsPC21",1.97837430463807,4.6
"PC21vsPC23",1.98201846466861,1.3
"PC7vsPC29",1.99027895492246,3.5
"PC5vsPC22",1.99275336090094,5.2
"PC5vsPC8",1.99711699973688,7.5
"PC6vsPC27",1.99796493441249,4.3
"PC24vsPC25",2.01027199335259,1
"PC23vsPC29",2.01107899411915,0.9
"PC16vsPC23",2.01481682361228,1.5
"PC4vsPC8",2.01577299050851,10.4
"PC1vsPC23",2.01607792458769,37.6
"PC14vsPC24",2.02130382319608,1.8
"PC5vsPC27",2.02197200690507,5
"PC5vsPC28",2.02783216414469,5
"PC6vsPC22",2.02921120713956,4.5
"PC4vsPC25",2.04133919289468,8
